model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF 6|Plus||adas|Hỗ trợ lái nâng cao (ADAS)|rear_cross_traffic_alert|Cảnh báo phương tiện cắt ngang phía sau|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||adas|Hỗ trợ lái nâng cao (ADAS)|door_open_warning|Cảnh báo mở cửa|Không||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||adas|Hỗ trợ lái nâng cao (ADAS)|door_open_warning|Cảnh báo mở cửa|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||adas|Hỗ trợ lái nâng cao (ADAS)|rear_parking_assist|Hỗ trợ đỗ xe phía sau|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||adas|Hỗ trợ lái nâng cao (ADAS)|rear_parking_assist|Hỗ trợ đỗ xe phía sau|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||adas|Hỗ trợ lái nâng cao (ADAS)|rearview_camera|Camera lùi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||adas|Hỗ trợ lái nâng cao (ADAS)|rearview_camera|Camera lùi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||adas|Hỗ trợ lái nâng cao (ADAS)|surround_view_camera|Camera 360° / giám sát xung quanh|Không||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||adas|Hỗ trợ lái nâng cao (ADAS)|surround_view_camera|Camera 360° / giám sát xung quanh|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||adas|Hỗ trợ lái nâng cao (ADAS)|driver_monitoring|Cảnh báo tài xế buồn ngủ & mất tập trung|Không||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||adas|Hỗ trợ lái nâng cao (ADAS)|driver_monitoring|Cảnh báo tài xế buồn ngủ & mất tập trung|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||security|An ninh|anti_theft_alarm|Cảnh báo chống trộm|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||security|An ninh|anti_theft_alarm|Cảnh báo chống trộm|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||security|An ninh|immobilizer|Khoá động cơ khi có trộm|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||security|An ninh|immobilizer|Khoá động cơ khi có trộm|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||infotainment|Giải trí & kết nối|navigation|Điều hướng & dẫn đường|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||infotainment|Giải trí & kết nối|navigation|Điều hướng & dẫn đường|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||infotainment|Giải trí & kết nối|gaming|Trò chơi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||infotainment|Giải trí & kết nối|gaming|Trò chơi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||infotainment|Giải trí & kết nối|web_browser|Trình duyệt web|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||infotainment|Giải trí & kết nối|web_browser|Trình duyệt web|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||infotainment|Giải trí & kết nối|self_diagnosis|Tự chẩn đoán lỗi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||infotainment|Giải trí & kết nối|self_diagnosis|Tự chẩn đoán lỗi|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||infotainment|Giải trí & kết nối|ota_update|Cập nhật phần mềm từ xa|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||infotainment|Giải trí & kết nối|ota_update|Cập nhật phần mềm từ xa|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Eco||infotainment|Giải trí & kết nối|phone_app|Ứng dụng điện thoại|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 6|Plus||infotainment|Giải trí & kết nối|phone_app|Ứng dụng điện thoại|Có||https://storage.googleapis.com/vinfast-data-01/brochure/14052026/VF%206_Brochure_Final_130526%20(12AM)_compressed.pdf
VF 8|Eco||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2.950|mm|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf
VF 8|Plus||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2.950|mm|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf
VF 8|Eco||dimension|Kích thước & trọng lượng|length_mm|Chiều dài tổng thể|4750|mm|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf
